filename,genre,bpm,key,camelot,energy,key_confidence
../data/genres_original\classical\classical.00000.wav,classical,95.7,D Major,10B,0.098,0.81
../data/genres_original\classical\classical.00001.wav,classical,112.35,B Minor,10A,0.079,0.92
../data/genres_original\classical\classical.00002.wav,classical,99.38,E Major,12B,0.107,0.7
../data/genres_original\classical\classical.00003.wav,classical,71.78,C Major,8B,0.088,0.75
../data/genres_original\classical\classical.00004.wav,classical,161.5,A Minor,8A,0.115,0.82
../data/genres_original\classical\classical.00005.wav,classical,143.55,D# Major,5B,0.103,0.76
../data/genres_original\classical\classical.00006.wav,classical,99.38,C Minor,5A,0.085,0.78
../data/genres_original\classical\classical.00007.wav,classical,215.33,A# Major,6B,0.095,0.86
../data/genres_original\classical\classical.00008.wav,classical,136.0,F Major,7B,0.097,0.82
../data/genres_original\classical\classical.00009.wav,classical,234.91,G Minor,6A,0.067,0.61
../data/genres_original\disco\disco.00000.wav,disco,117.45,D Major,10B,0.274,0.52
../data/genres_original\disco\disco.00001.wav,disco,117.45,E Major,12B,0.352,0.68
../data/genres_original\disco\disco.00002.wav,disco,92.29,F# Minor,11A,0.358,0.45
../data/genres_original\disco\disco.00003.wav,disco,129.2,A Minor,8A,0.363,0.37
../data/genres_original\disco\disco.00004.wav,disco,123.05,B Major,1B,0.289,0.79
../data/genres_original\disco\disco.00005.wav,disco,107.67,G Major,9B,0.349,0.65
../data/genres_original\disco\disco.00006.wav,disco,123.05,G# Minor,1A,0.336,0.86
../data/genres_original\disco\disco.00007.wav,disco,129.2,A Major,11B,0.324,0.63
../data/genres_original\disco\disco.00008.wav,disco,123.05,C# Major,3B,0.335,0.83
../data/genres_original\disco\disco.00009.wav,disco,129.2,A# Major,6B,0.283,0.44
../data/genres_original\blues\blues.00000.wav,blues,123.05,G Minor,6A,0.221,0.56
../data/genres_original\blues\blues.00001.wav,blues,68.0,G Major,9B,0.177,0.51
../data/genres_original\blues\blues.00002.wav,blues,161.5,E Major,12B,0.258,0.69
../data/genres_original\blues\blues.00003.wav,blues,63.02,D Minor,7A,0.189,0.29
../data/genres_original\blues\blues.00004.wav,blues,136.0,A# Major,6B,0.188,0.72
../data/genres_original\blues\blues.00005.wav,blues,69.84,D Major,10B,0.196,0.7
../data/genres_original\blues\blues.00006.wav,blues,71.78,F Major,7B,0.219,0.73
../data/genres_original\blues\blues.00007.wav,blues,92.29,A# Major,6B,0.207,0.52
../data/genres_original\blues\blues.00008.wav,blues,83.35,E Major,12B,0.233,0.59
../data/genres_original\blues\blues.00009.wav,blues,80.75,G Major,9B,0.17,0.62
../data/genres_original\rock\rock.00000.wav,rock,123.05,A Major,11B,0.223,0.68
../data/genres_original\rock\rock.00001.wav,rock,152.0,E Major,12B,0.251,0.6
../data/genres_original\rock\rock.00002.wav,rock,107.67,D Major,10B,0.248,0.52
../data/genres_original\rock\rock.00003.wav,rock,95.7,F Minor,4A,0.225,0.35
../data/genres_original\rock\rock.00004.wav,rock,103.36,G Minor,6A,0.272,0.38
../data/genres_original\rock\rock.00005.wav,rock,99.38,A Minor,8A,0.269,0.56
../data/genres_original\rock\rock.00006.wav,rock,112.35,G# Major,4B,0.257,0.59
../data/genres_original\rock\rock.00007.wav,rock,89.1,A Minor,8A,0.213,0.52
../data/genres_original\rock\rock.00008.wav,rock,89.1,D Major,10B,0.336,0.35
../data/genres_original\rock\rock.00009.wav,rock,76.0,C Major,8B,0.184,0.6
../data/genres_original\hiphop\hiphop.00000.wav,hiphop,117.45,A Major,11B,0.28,0.55
../data/genres_original\hiphop\hiphop.00001.wav,hiphop,92.29,D# Minor,2A,0.45,0.23
../data/genres_original\hiphop\hiphop.00002.wav,hiphop,99.38,A# Minor,3A,0.184,0.43
../data/genres_original\hiphop\hiphop.00003.wav,hiphop,92.29,B Minor,10A,0.41,0.31
../data/genres_original\hiphop\hiphop.00004.wav,hiphop,95.7,A Minor,8A,0.351,0.41
../data/genres_original\hiphop\hiphop.00005.wav,hiphop,71.78,F# Minor,11A,0.406,0.45
../data/genres_original\hiphop\hiphop.00006.wav,hiphop,99.38,E Major,12B,0.447,0.52
../data/genres_original\hiphop\hiphop.00007.wav,hiphop,123.05,E Major,12B,0.382,0.58
../data/genres_original\hiphop\hiphop.00008.wav,hiphop,172.27,G# Minor,1A,0.306,0.36
../data/genres_original\hiphop\hiphop.00009.wav,hiphop,103.36,B Major,1B,0.345,0.38
